"","dataset","batch","organism","cultivar","gm","zadok_scale","intermediate_age","high_level_age","low_level_tissue","intermediate_tissue","high_level_tissue","treatment","library"
"ERR2026425"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR2026426"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR2026427"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR2026428"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR2026429"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR2026430"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR2026431"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR2026432"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR2026433"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR2026434"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR2026435"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR2026436"," rowtype_mutant",62,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","spike","flower_mix","inflorescence","control","paired"
"SRR9889989","meiosis",65,"Hordeum vulgare","Golden Promise","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9889991","meiosis",66,"Hordeum vulgare","Golden Promise","wt",38,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9889992","meiosis",66,"Hordeum vulgare","Golden Promise","wt",38,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9889993","meiosis",67,"Hordeum vulgare","Golden Promise","wt",37,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9889994","meiosis",67,"Hordeum vulgare","Golden Promise","wt",37,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9889995","meiosis",68,"Hordeum vulgare","Golden Promise","wt",40,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9889996","meiosis",65,"Hordeum vulgare","Golden Promise","wt",39,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9889997","meiosis",69,"Hordeum vulgare","Golden Promise","wt",39,"Floret_development","Reproductive","meiocyte","stamen","inflorescence","control","paired"
"SRR9889998","meiosis",70,"Hordeum vulgare","Golden Promise","wt",38,"Floret_development","Reproductive","meiocyte","stamen","inflorescence","control","paired"
"SRR9889999","meiosis",69,"Hordeum vulgare","Golden Promise","wt",39,"Floret_development","Reproductive","meiocyte","stamen","inflorescence","control","paired"
"SRR9890001","meiosis",68,"Hordeum vulgare","Golden Promise","wt",40,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9890002","meiosis",68,"Hordeum vulgare","Golden Promise","wt",40,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9890003","meiosis",67,"Hordeum vulgare","Golden Promise","wt",37,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9890004","meiosis",66,"Hordeum vulgare","Golden Promise","wt",38,"Floret_development","Reproductive","anther","stamen","inflorescence","control","paired"
"SRR9890005","meiosis",70,"Hordeum vulgare","Golden Promise","wt",38,"Floret_development","Reproductive","meiocyte","stamen","inflorescence","control","paired"
"SRR9890006","meiosis",70,"Hordeum vulgare","Golden Promise","wt",38,"Floret_development","Reproductive","meiocyte","stamen","inflorescence","control","paired"
"ERR515181","laxatum_mutant",71,"Hordeum vulgare","Bowman","wt",23,"Tillering","Vegetative","stamen","stamen","inflorescence","control","paired"
"ERR515182","laxatum_mutant",71,"Hordeum vulgare","Bowman","wt",23,"Tillering","Vegetative","stamen","stamen","inflorescence","control","paired"
"ERR515186","laxatum_mutant",73,"Hordeum vulgare","Bowman","wt",19,"Leaf_development","Vegetative","glume","glume","inflorescence","control","paired"
"ERR515187","laxatum_mutant",73,"Hordeum vulgare","Bowman","wt",19,"Leaf_development","Vegetative","glume","glume","inflorescence","control","paired"
"ERR515188","laxatum_mutant",73,"Hordeum vulgare","Bowman","wt",19,"Leaf_development","Vegetative","glume","glume","inflorescence","control","paired"
"ERR515192","laxatum_mutant",75,"Hordeum vulgare","Bowman","wt",31,"Stem_elongation","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR515193","laxatum_mutant",75,"Hordeum vulgare","Bowman","wt",31,"Stem_elongation","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR515194","laxatum_mutant",75,"Hordeum vulgare","Bowman","wt",31,"Stem_elongation","Reproductive","spike","flower_mix","inflorescence","control","paired"
"SAMEA3935047","root_zones",77,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935048","root_zones",77,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935049","root_zones",77,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935050","root_zones",77,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935051","root_zones",78,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935052","root_zones",78,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935053","root_zones",78,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935054","root_zones",78,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935056","root_zones",79,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_maturation_zone","root_mix","root","control","paired"
"SAMEA3935057","root_zones",79,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_maturation_zone","root_mix","root","control","paired"
"SAMEA3935058","root_zones",79,"Hordeum vulgare","Clipper","wt",3,"Germination","Seedling","root_maturation_zone","root_mix","root","control","paired"
"SAMEA3935071","root_zones",83,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935072","root_zones",83,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935073","root_zones",83,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935074","root_zones",83,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA3935075","root_zones",84,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935076","root_zones",84,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935077","root_zones",84,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935078","root_zones",84,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_elongation_zone","root_mix","root","control","paired"
"SAMEA3935079","root_zones",85,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_maturation_zone","root_mix","root","control","paired"
"SAMEA3935080","root_zones",85,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_maturation_zone","root_mix","root","control","paired"
"SAMEA3935081","root_zones",85,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_maturation_zone","root_mix","root","control","paired"
"SAMEA3935082","root_zones",85,"Hordeum vulgare","Sahara","wt",3,"Germination","Seedling","root_maturation_zone","root_mix","root","control","paired"
"SAMEA7109463","floral_meristem",145,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109464","floral_meristem",146,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spikelet_ridge","flower_meristem","inflorescence","control","paired"
"SAMEA7109465","floral_meristem",147,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","leaf_ridge","shoot_meristem","shoot","control","paired"
"SAMEA7109466","floral_meristem",148,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109467","floral_meristem",149,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109468","floral_meristem",150,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109469","floral_meristem",151,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109470","floral_meristem",152,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109471","floral_meristem",153,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109472","floral_meristem",154,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109473","floral_meristem",155,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109474","floral_meristem",156,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109476","floral_meristem",162,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109478","floral_meristem",167,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109479","floral_meristem",129,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109480","floral_meristem",130,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109481","floral_meristem",141,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109482","floral_meristem",142,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109483","floral_meristem",143,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109484","floral_meristem",144,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109485","floral_meristem",173,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109486","floral_meristem",174,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
